city,state
hyderabad,karnataka
jammu and kashmir,jammu and kashmir
mysore,karnataka
benares,uttarpradesh
travancore,kerala
kalat,balochistan
kharan,balochistan
lasbela,balochistan
makran,balochistan
akalkot,maharashtra
aundh,maharashtra
bhor,maharashtra
jamkhandi,karnataka
janjira,maharashtra
jath,maharashtra
kolhapur,maharashtra
ichalkaranji,maharashtra
kurundvadsenior,maharashtra
kurundvadjunior,maharashtra
miraj,maharashtra
mudhol,karnataka
phaltan,maharashtra
sangli,maharashtra
savanur,karnataka
sawantvadi,maharashtra
gwalior,madhyapradesh
garha,madhyapradesh
khaniyadhana,madhyapradesh
ramgadi,uttarpradesh
rajgarh,madhyapradesh
rampur,uttarpradesh
banganapalle,andhrapradesh
cochin,kerala
pudukkottai,tamilnadu
sandur,karnataka
amb,khyberpakhtunkhwa
chitral,khyberpakhtunkhwa
dir,khyberpakhtunkhwa
phulra,khyberpakhtunkhwa
swat,khyberpakhtunkhwa
hunza,gilgit–baltistan
khairpur,sindh
bahawalpur,punjab
bilaspur,himachal pradesh
faridkot,punjab
jind,punjabandharyana
kalsia,haryana
kangra,himachal pradesh
kapurthala,punjab
kumharsain,himachal pradesh
loharu,haryana
malerkotla,punjab
mandi,himachal pradesh
nabha,punjab
patiala,punjab
rajgarh,himachal pradesh
sirmur,himachal pradesh
suket/sundernagar,himachal pradesh
siba,himachal pradesh
tehrigarhwal,uttarakhand
alwar,rajasthan
banswara,rajasthan
bharatpur,rajasthan
bikaner,rajasthan
bundi,rajasthan
dholpur,rajasthan
dungarpur,rajasthan
jaipur,rajasthan
jaisalmer,rajasthan
jhalawar,rajasthan
jodhpur,rajasthan
karauli,rajasthan
kishangarh,rajasthan
kotah,rajasthan
kushalgarh,rajasthan
sardargarh,rajasthan
thikana,rajasthan
udaipur,rajasthan
mewar,rajasthan
"patan,rajasthan",rajasthan
pratabgarh,rajasthan
shekhawati,rajasthan
shahpura,rajasthan
sirohi,rajasthan
tonk,rajasthan
bajana,gujarat
bansda,gujarat
manavadar,gujarat
baroda,gujarat
bhavnagar,gujarat
cambay,gujarat
chhotaudaipur,gujarat
cutch,gujarat
charkha,gujarat
dangs,gujarat
dhrangadhra,gujarat
dhrol,gujarat
gondal,gujarat
idar,gujarat
jamnagar,gujarat
jawhar,gujarat
junagadh,gujarat
lathi,gujarat
limbda,gujarat
limdi,gujarat
lunavada,gujarat
morvi,gujarat
muli,gujarat
nawanagar,gujarat
palanpur,gujarat
porbandar,gujarat
poshina,gujarat
radhanpur,gujarat
rajkot,gujarat
rajpara,gujarat
rajpipla,gujarat
sachin,gujarat
sanjeli,gujarat
sant,gujarat
surgana,gujarat
tharad,gujarat
vanod,gujarat
mansa,gujarat
vijaynagar,gujarat
wadhwan,gujarat
wankaner,gujarat
kotdanayani,gujarat
makajimeghpar,gujarat
jafarabad,gujarat
ajaigarh,ajaigarh
alipura,alipura
alirajpur,alirajpur
baraundha,baraundha
